video_id,publishedAt,user,comment,likeCount,is_reply,parent_comment_id
f_Z2O-ea4q0,2025-09-04T04:24:17Z,@AnnisaulIfadah,AI yang buat programmer buat mempermudah pekerjaan ❤,0,False,
f_Z2O-ea4q0,2025-08-09T01:08:18Z,@fauziduiardiansah,Kan banyak AI bayak harus di coding jadi harus di coding sama manusia,0,False,
f_Z2O-ea4q0,2025-08-02T16:15:57Z,@alfredelbertp,"saya yang jurusannya komputer juga merasa AI seperti chatgpt itu membantu banget, kalo misal mesti bikin tugas program dalam C, java, ataupun C++",0,False,
f_Z2O-ea4q0,2025-07-29T20:58:22Z,@salafsntr,"ga akan pernah gantikan manusia. <br>manusia biadab, AI tidak. <br>kwkwkwkkw<br>canda..",0,False,
f_Z2O-ea4q0,2025-07-27T12:20:54Z,@ipan05-rh7kv,yang penting belajar,2,False,
f_Z2O-ea4q0,2025-07-13T04:50:27Z,@DOKTERerara,Manusia sok tau,0,False,
f_Z2O-ea4q0,2025-07-02T18:03:22Z,@hirusiva9540,Bro yg blng sediri gunakan ai sebagai alat,0,False,
f_Z2O-ea4q0,2025-06-22T00:54:45Z,@agungdwiutomo6,"Tetap kepake sih basic2 bahasa pemrograman, karena pasti kalau mau lamar kerja diperusahaan lu harus bisa jelasin portofoliolu mereka ga bakal terima jawaban ini semua dibuat pake AI😅",0,False,
f_Z2O-ea4q0,2025-06-19T09:04:06Z,@Faktamenarikhewan_21,AI sih menurut ku utk mempermudah bukan mengganti berbagai hal,0,False,
f_Z2O-ea4q0,2025-06-13T14:17:43Z,@HUMDIGA,Tetap kita harus paham apa yang kita buat,0,False,
f_Z2O-ea4q0,2025-06-13T05:39:07Z,@dhgnldy,Keunikan dan kesempurnaan manusia hasil ciptaan Tuhan tidak akan ada yang bisa menggantikan kecuali pencipta NYA sendiri,0,False,
f_Z2O-ea4q0,2025-06-09T03:09:51Z,@Sarah.Lemontea,Coding pake AI tetap butuh penguasaan fundamental. Logikanya bagaimana kita bisa tahu hasil yang digenerate Gen AI itu benar jika kita ga paham ?. Walaupun dulu ga ada Gen AI tapi bisa produktif dengan membuat rule-based code generator sendiri. Jadi coding skill adalah problem solving skill.,1,False,
f_Z2O-ea4q0,2025-05-20T15:09:55Z,@MataSurya-o6c,"Gak semudah itu ngoding dengan AI, ada triknya dan itu tidak mudah",0,False,
f_Z2O-ea4q0,2025-05-14T12:53:40Z,@zoess05,"bener bangett, gw akhirnya belajar ngoding sejak lulus karena penasaran doang. cuma modal belajar di YouTube, Al, Course gratongg, sama komunitas cepet banget weh, udah bisa buat project kecil²an (meski pasti fundamental nya masih ibaratnya gundul, lupa², harus buka² google lagi, dan masih harus ngelihat refrensi, kaga pure codingan sendiri). meanwhile org yg belajar dari kecil atau dulu harus kursus dan ngeluangin waktu berjam-jam, keren kalian semuanya yg melalui itu!",0,False,
